
 ⛅️ wrangler 4.100.0
────────────────────
Successfully created tail, expires at 2026-06-12T13:50:11Z
Connected to videx-api, waiting for logs...
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/1405/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/530915/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/5920/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/4614/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/1415/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/790/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/65334/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/1407/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/3022/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/60574/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/528949/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/57243/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/60572/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/71789/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/41956/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/4086/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/37680/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/71712/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/5857/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/71694/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/652/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/60735/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/69158/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/491480/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/10733/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/314/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/1396/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/424/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/66732/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/456/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/253/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/1434/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/1408/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/94997/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/82728/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/95057/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/155/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/350/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/61457/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/324786/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/32692/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/80748/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/4607/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/1412/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/549/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/1214931/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/49009/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/162/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/212989/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/90/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/262469/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/129/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/4604/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/67946/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/1667/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/1877/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/4598/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/46952/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/693/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/502/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/1495/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/160/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/490132/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/270572/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/424/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/203/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/1422/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/1911/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/tv/1395/watch/providers - Ok @ 12/06/2026, 11:13:41
GET https://videx-api.kingbalouu.workers.dev/v1/tmdb/movie/985939/watch/providers - Ok @ 12/06/2026, 11:13:41
